strain	country	genotype	accession	extra
1995.282_2	BKK	3II	00541/95	.
1995.307	BKK	3II	00520/95	.
1995.351	BKK	3II	00617/95	.
1995.384	BKK	3II	00631/95	.
1995.416	KPP	3II	30071/95	.
1995.43	BKK	3II	00657/95	.
1995.49	BKK	3II	00772/95	.
1995.496	BKK	3II	00780/95	.
1995.5	KPP	3II	30317/95	.
1995.5_2	KPP	3II	30457/95	.
1995.5_3	KPP	3II	30460/95	.
1995.532	KPP	3II	30125/95	.
1995.551	BKK	3II	01042/95	.
1995.581	BKK	3II	00965/95	.
1995.592	KPP	3II	30175/95	.
1995.622	KPP	3II	30195/95	.
1995.636	BKK	3II	01179/95	.
1995.655	KPP	3II	30246/95	.
1995.66	BKK	3II	01260/95	.
1995.668	BKK	3II	01296/95	.
1995.679	BKK	3II	01317/95	.
1995.696	BKK	3II	01367/95	.
1995.734	BKK	3II	01486/95	.
1995.745	BKK	3II	01509/95	.
1995.805	BKK	3II	01658/95	.
1995.849	BKK	3II	01753/95	.
1996.022	BKK	3II	00011/96	.
1996.049	BKK	3II	00037/96	.
1996.363	KPP	3II	30061/96	.
1996.396	BKK	3II	00753/96	.
1996.423	KPP	3II	30083/96	.
1996.464	BKK	3II	00833/96	.
1996.5	KPP	3II	30158/96	.
1996.511	BKK	3II	00975/96	.
1996.538	BKK	3II	01037/96	.
1996.59	KPP	3II	30233/96	.
1996.598	BKK	3II	01171/96	.
1996.634	BKK	3II	01245/96	.
1996.634_2	BKK	3II	01249/96	.
1996.656	BKK	3II	01318/96	.
1996.669	BKK	3II	01421/96	.
1996.694	BKK	3II	01487/96	.
1996.697	BKK	3II	01505/96	.
1996.71	BKK	3II	01528/96	.
1996.716	BKK	3II	01552/96	.
1996.762	BKK	3II	01655/96	.
1996.77	BKK	3II	01697/96	.
1996.776	BKK	3II	01720/96	.
1996.784	BKK	3II	01781/96	.
1996.801	BKK	3II	01828/96	.
1996.833	BKK	3II	01908/96	.
1996.844	BKK	3II	01941/96	.
1996.902	BKK	3II	02161/96	.
1996.904	BKK	3II	02171/96	.
1996.923	BKK	3II	02222/96	.
1997.151	BKK	3II	00495/97	.
1997.384	BKK	3II	01425/97	.
1997.419	BKK	3II	01956/97	.
1997.422	BKK	3II	01976/97	.
1997.537	BKK	3II	02580/97	.
1997.551	BKK	3II	02673/97	.
1997.57	BKK	3II	02906/97	.
1997.597	BKK	3II	03058/97	.
1997.603	BKK	3II	03080/97	.
1997.641	BKK	3II	03353/97	.
1997.663	KPP	3II	30817/97	.
1997.679	BKK	3II	04710/97	.
1997.682	KPP	3II	30864/97	.
1997.699	BKK	3II	04945/97	.
1997.721	BKK	3II	05100/97	.
1997.764	BKK	3II	05578/97	.
1997.778	BKK	3II	05718/97	.
1997.784	BKK	3II	05746/97	.
1997.858	BKK	3II	06406/97	.
1997.877	BKK	3II	06541/97	.
1997.91	BKK	3II	07176/97	.
1997.91_2	BKK	3II	07180/97	.
1997.915	BKK	3II	07225/97	.
1997.915_2	BKK	3II	07234/97	.
1997.948	KPP	3II	31222/97	.
1997.951	BKK	3II	07597/97	.
1997.992	BKK	3II	07887/97	.
1998.025	BKK	3II	00190/98	.
1998.038	BKK	3II	00317/98	.
1998.074	BKK	3II	00596/98	.
1998.082	BKK	3II	00637/98	.
1998.093	BKK	3II	00688/98	.
1998.118	BKK	3II	01250/98	.
1998.123	BKK	3II	01293/98	.
1998.134	BKK	3II	01335/98	.
1998.178	BKK	3II	01700/98	.
1998.181	BKK	3II	01716/98	.
1998.192	KPP	3II	30165/98	.
1998.208	BKK	3II	01868/98	.
1998.23	BKK	3II	02000/98	.
1998.236	BKK	3II	02016/98	.
1998.244	KPP	3II	30239/98	.
1998.274	BKK	3II	02224/98	.
1998.29	BKK	3II	02283/98	.
1998.326	KPP	3II	30323/98	.
1998.334	KPP	3II	30332/98	.
1998.34	BKK	3II	02434/98	.
1998.362	BKK	3II	02506/98	.
1998.367	BKK	3II	02519/98	.
1998.384	BKK	3II	02551/98	.
1998.384_2	BKK	3II	02553/98	.
1998.496	BKK	3II	02993/98	.
1998.5	Thailand	3XX	AY676348/98	.
1998.5_2	Thailand	3XX	AY676349/98	.
1998.553	BKK	3II	04187/98	.
1998.586	BKK	3II	04331/98	.
1998.597	BKK	3II	04378/98	.
1998.69	BKK	3II	04763/98	.
1998.707	Taiwan	3II	KY670634	.
1998.734	BKK	3II	04946/98	.
1998.74	BKK	3II	04996/98	.
1998.77	BKK	3II	06012/98	.
1998.781	BKK	3II	06068/98	.
1998.781_2	BKK	3II	06070/98	.
1998.838	BKK	3II	06343/98	.
1998.953	BKK	3II	06912/98	.
1998.984	BKK	3II	07042/98	.
1999.038	BKK	3II	00165/99	.
1999.068	BKK	3II	00342/99	.
1999.118	BKK	3II	00557/99	.
1999.225	KPP	3II	30050/99	.
1999.241	BKK	3II	01187/99	.
1999.244	BKK	3II	01909/99	.
1999.277	BKK	3II	01982/99	.
1999.307	KPP	3II	30105/99	.
1999.367	BKK	3II	02864/99	.
1999.392	BKK	3II	02902/99	.
1999.425	BKK	3II	02972/99	.
1999.43	BKK	3II	02983/99	.
1999.438	KPP	3II	30331/99	.
1999.474	BKK	3II	03417/99	.
1999.479	KPP	3II	30475/99	.
1999.5	Cambodia	3II	KF955461	.
1999.504	BKK	3II	03565/99	.
1999.504_2	BKK	3II	03567/99	.
1999.54	BKK	3II	03749/99	.
1999.542	BKK	3II	03767/99	.
1999.542_2	KPP	3II	30659/99	.
1999.559	BKK	3II	03818/99	.
1999.564	L99	3XX	072.1	.
1999.564_2	L99	3XX	076.1	.
1999.648	R99	3XX	081.1	.
1999.696	BKK	3II	04514/99	.
1999.718	BKK	3II	04557/99	.
1999.731	R99	3XX	109.1	.
1999.825	BKK	3II	05364/99	.
1999.827	BKK	3II	05379/99	.
1999.874	BKK	3II	05480/99	.
1999.97	BKK	3II	05951/99	.
1999.975	BKK	3II	05956/99	.
1999.986	BKK	3II	06047/99	.
1999.997	BKK	3II	06060/99	.
2000.194	BKK	3II	00245/00	.
2000.197	BKK	3II	00246/00	.
2000.249	BKK	3II	00329/00	.
2000.251	BKK	3II	00334/00	.
2000.314	R00	3XX	036.1	.
2000.418	BKK	3II	01330/00	.
2000.481	BKK	3II	01442/00	.
2000.486	BKK	3II	01455/00	.
2000.5	Cambodia	3II	KF955332	.
2000.5_2	Cambodia	3XX	FJ639719/00	.
2000.574	BKK	3II	01654/00	.
2000.582	BKK	3II	01671/00	.
2000.582_2	BKK	3II	01672/00	.
2000.587	BKK	3II	01720/00	.
2000.631	BKK	3II	01906/00	.
2000.653	BKK	3II	01996/00	.
2000.669	BKK	3II	02029/00	.
2000.689	BKK	3II	02080/00	.
2000.731	R00	3XX	320.1	.
2000.754	BKK	3II	02242/00	.
2000.814	R00	3XX	504.1	.
2000.817	BKK	3II	05420/00	.
2000.817_2	BKK	3II	05421/00	.
2000.822	BKK	3II	05443/00	.
2000.828	BKK	3II	05456/00	.
2000.836	BKK	3II	05499/00	.
2000.858	BKK	3II	05571/00	.
2000.88	BKK	3II	05632/00	.
2000.896	H00	3XX	093.1	.
2000.91	BKK	3II	05772/00	.
2000.923	BKK	3II	05815/00	.
2000.948	BKK	3II	05884/00	.
2000.964	BKK	3II	05969/00	.
2000.973	BKK	3II	06028/00	.
2000.992	BKK	3II	06135/00	.
2001.005	BKK	3II	00005/01	.
2001.008	BKK	3II	00009/01	.
2001.014	BKK	3II	00023/01	.
2001.047	BKK	3II	00152/01	.
2001.071	BKK	3II	00273/01	.
2001.148	BKK	3II	00679/01	.
2001.181	BKK	3II	00779/01	.
2001.216	BKK	3II	00936/01	.
2001.227	BKK	3II	00975/01	.
2001.23	BKK	3II	00984/01	.
2001.236	BKK	3II	01022/01	.
2001.326	BKK	3II	02916/01	.
2001.334	KPP	3II	30836/01	.
2001.386	BKK	3II	03240/01	.
2001.395	BKK	3II	03291/01	.
2001.433	KPP	3II	31222/01	.
2001.447	KPP	3II	31323/01	.
2001.46	BKK	3II	03640/01	.
2001.471	Thailand	3II	FJ744730	.
2001.488	Thailand	3II	FJ744727	.
2001.49	BKK	3II	03879/01	.
2001.499	KPP	3II	31771/01	.
2001.5	Cambodia	3XX	FJ639720/01	.
2001.5_2	Cambodia	3XX	GQ868626/01	.
2001.5_3	P00	3XX	020.1	.
2001.507	Thailand	3II	FJ744731	.
2001.512	BKK	3II	04045/01	.
2001.515	KPP	3II	31964/01	.
2001.521	Thailand	3II	FJ687448	.
2001.523	KPP	3II	32031/01	.
2001.523_2	KPP	3II	32044/01	.
2001.532	Thailand	3II	FJ744729	.
2001.534	BKK	3II	04236/01	.
2001.562	BKK	3II	04502/01	.
2001.562_2	Thailand	3II	FJ810413	.
2001.563	P01	3XX	476.1	.
2001.564	BKK	3II	04526/01	.
2001.564_2	BKK	3II	04540/01	.
2001.578	BKK	3II	04635/01	.
2001.581	BKK	3II	04680/01	.
2001.6	Thailand	3II	FJ744732	.
2001.6_2	Thailand	3II	FJ744733	.
2001.603	Thailand	3II	FJ744734	.
2001.603_2	Thailand	3II	FJ810414	.
2001.611	BKK	3II	04945/01	.
2001.638	Thailand	3II	FJ744735	.
2001.647	P01	3XX	560.1	.
2001.647_2	R01	3XX	841.1	.
2001.658	Thailand	3II	FJ744737	.
2001.66	BKK	3II	05308/01	.
2001.696	Thailand	3II	FJ744739	.
2001.701	KPP	3II	33501/01	.
2001.707	BKK	3II	05611/01	.
2001.748	BKK	3II	05838/01	.
2001.803	BKK	3II	06117/01	.
2001.803_2	BKK	3II	06123/01	.
2001.819	KPP	3II	33900/01	.
2001.819_2	KPP	3II	33907/01	.
2001.822	BKK	3II	06198/01	.
2001.836	Thailand	3II	FJ744740	.
2001.866	BKK	3II	06419/01	.
2001.879	BKK	3II	06503/01	.
2001.94	BKK	3II	06757/01	.
2002.025	BKK	3III	00059/02	.
2002.036	BKK	3II	00073/02	.
2002.044	BKK	3II	00104/02	.
2002.063	BKK	3II	00142/02	.
2002.063_2	R01	3XX	102.1	.
2002.066	BKK	3II	00145/02	.
2002.074	BKK	3II	00430/02	.
2002.079	BKK	3II	00452/02	.
2002.096	BKK	3II	00501/02	.
2002.107	BKK	3II	00536/02	.
2002.153	BKK	3II	00669/02	.
2002.167	BKK	3II	00706/02	.
2002.178	BKK	3II	00748/02	.
2002.192	BKK	3II	00767/02	.
2002.258	BKK	3II	01166/02	.
2002.26	BKK	3II	01182/02	.
2002.31	BKK	3II	01262/02	.
2002.312	BKK	3II	01263/02	.
2002.329	BKK	3II	01300/02	.
2002.334	BKK	3II	01313/02	.
2002.389	BKK	3II	01472/02	.
2002.419	BKK	3II	01537/02	.
2002.485	KPP	3II	30753/02	.
2002.49	BKK	3II	01802/02	.
2002.493	KPP	3II	30788/02	.
2002.496	KPP	3II	30796/02	.
2002.499	KPP	3II	30817/02	.
2002.5	Cambodia	3II	GQ868627	.
2002.5_2	Cambodia	3XX	FJ639721/02	.
2002.5_3	Cambodia	3XX	FJ639722/02	.
2002.5_4	H02	3XX	096.1	.
2002.537	BKK	3II	02006/02	.
2002.592	BKK	3II	02173/02	.
2002.619	BKK	3II	02251/02	.
2002.647	N02	3XX	722.1	.
2002.73	N02	3XX	763.1	.
2002.984	BKK	3II	03135/02	.
2003.036	BKK	3II	00072/03	.
2003.118	BKK	3II	00317/03	.
2003.178	BKK	3II	00466/03	.
2003.197	BKK	3II	00523/03	.
2003.225	BKK	3II	00566/03	.
2003.225_2	BKK	3II	00567/03	.
2003.227	BKK	3II	00576/03	.
2003.263	BKK	3II	00664/03	.
2003.282	BKK	3II	00708/03	.
2003.313	N03	3XX	054.1	.
2003.345	BKK	3II	00873/03	.
2003.433	BKK	3II	01085/03	.
2003.5	Cambodia	3II	GU131906	.
2003.5_2	Cambodia	3XX	FJ639724/03	.
2003.5_3	Cambodia	3XX	FJ639725/03	.
2003.5_4	R03	3XX	005.1	.
2003.586	BKK	3II	01393/03	.
2003.614	BKK	3II	01468/03	.
2003.668	BKK	3II	01619/03	.
2003.677	BKK	3II	01651/03	.
2003.753	BKK	3II	01837/03	.
2003.762	BKK	3II	01847/03	.
2003.808	BKK	3II	01967/03	.
2003.816	BKK	3II	01979/03	.
2003.83	BKK	3II	02035/03	.
2003.866	BKK	3II	02141/03	.
2003.885	BKK	3II	02208/03	.
2003.885_2	BKK	3II	02213/03	.
2003.89	BKK	3II	02234/03	.
2003.897	H03	3XX	169.1	.
2004.038	BKK	3II	00055/04	.
2004.063	P03	3XX	254.1	.
2004.322	BKK	3II	00317/04	.
2004.451	BKK	3II	00441/04	.
2004.5	Singapore	3XX	EU081181/04	.
2004.5_2	Cambodia	3XX	FJ639726/04	.
2004.541	BKK	3II	00602/04	.
2004.721	BKK	3II	00979/04	.
2004.721_2	BKK	3II	00991/04	.
2004.762	BKK	3II	01144/04	.
2004.781	BKK	3II	01184/04	.
2004.839	BKK	3II	01393/04	.
2005.088	BKK	3II	00159/05	.
2005.474	BKK	3II	00654/05	.
2005.5	Cambodia	3II	FJ639727	.
2005.5_2	Singapore	3XX	EU081211/05	.
2005.5_3	Singapore	3XX	EU081217/05	.
2005.5_4	Cambodia	3XX	FJ639728/05	.
2005.5_5	Cambodia	3XX	GQ868629/05	.
2005.534	BKK	3II	00739/05	.
2005.584	BKK	3II	00806/05	.
2005.611	BKK	3II	00846/05	.
2005.619	BKK	3II	00852/05	.
2005.625	BKK	3II	00872/05	.
2005.69	BKK	3II	00980/05	.
2005.89	BKK	3II	01387/05	.
2005.89_2	BKK	3II	01400/05	.
2005.893	BKK	3II	01404/05	.
2005.926	BKK	3II	01491/05	.
2005.942	BKK	3II	01530/05	.
2005.956	BKK	3II	01565/05	.
2005.959	BKK	3II	01569/05	.
2006.011	BKK	3II	00008/06	.
2006.019	BKK	3II	00018/06	.
2006.074	BKK	3II	00112/06	.
2006.101	BKK	3II	00156/06	.
2006.159	BKK	3II	00253/06	.
2006.17	BKK	3II	00288/06	.
2006.175	BKK	3II	00293/06	.
2006.175_2	BKK	3II	00295/06	.
2006.216	BKK	3II	00372/06	.
2006.268	BKK	3II	00460/06	.
2006.326	BKK	3II	00557/06	.
2006.34	BKK	3II	00583/06	.
2006.348	BKK	3III	00588/06	.
2006.367	BKK	3II	00618/06	.
2006.381	BKK	3II	00651/06	.
2006.384	BKK	3II	00676/06	.
2006.403	BKK	3II	00708/06	.
2006.405	BKK	3II	00710/06	.
2006.408	BKK	3II	00717/06	.
2006.425	BKK	3II	00778/06	.
2006.447	BKK	3II	00831/06	.
2006.49	BKK	3II	00997/06	.
2006.496	BKK	3II	01045/06	.
2006.5	Vietnam	3XX	EU482452/06	.
2006.5_2	Vietnam	3XX	EU482456/06	.
2006.5_3	Vietnam	3XX	EU482460/06	.
2006.5_4	Cambodia	3XX	GQ868634/06	.
2006.5_5	Cambodia	3XX	GU131909/06	.
2006.5_6	Cambodia	3XX	HM181933/06	.
2006.5_7	Vietnam	3II	EU660408	.
2006.501	BKK	3II	01041/06	.
2006.51	BKK	3II	01062/06	.
2006.512	BKK	3II	01067/06	.
2006.526	BKK	3II	01128/06	.
2006.551	BKK	3II	01251/06	.
2006.551_2	BKK	3II	01253/06	.
2006.553	BKK	3II	01257/06	.
2006.559	BKK	3II	01276/06	.
2006.57	BKK	3II	01333/06	.
2006.573	BKK	3II	01369/06	.
2006.573_2	BKK	3II	01373/06	.
2006.578	BKK	3II	01372/06	.
2006.581	BKK	3II	01379/06	.
2006.586	BKK	3II	01423/06	.
2006.619	BKK	3II	01536/06	.
2006.622	BKK	3II	01559/06	.
2006.647	BKK	3II	01651/06	.
2006.658	BKK	3II	01691/06	.
2006.671	BKK	3II	01781/06	.
2006.732	BKK	3II	01933/06	.
2006.732_2	BKK	3II	01935/06	.
2006.762	BKK	3II	02038/06	.
2006.762_2	BKK	3II	02042/06	.
2006.77	BKK	3II	02051/06	.
2006.781	BKK	3II	02111/06	.
2006.784	BKK	3II	02121/06	.
2006.795	BKK	3II	02117/06	.
2006.8	BKK	3II	02174/06	.
2006.803	BKK	3II	02185/06	.
2006.814	BKK	3II	02202/06	.
2006.827	BKK	3II	02277/06	.
2006.836	BKK	3II	02292/06	.
2006.852	BKK	3II	02341/06	.
2006.858	BKK	3II	02380/06	.
2006.858_2	BKK	3II	02384/06	.
2006.882	BKK	3II	02485/06	.
2006.888	BKK	3II	02490/06	.
2006.899	BKK	3II	02515/06	.
2006.918	BKK	3II	02632/06	.
2006.926	BKK	3III	02678/06	.
2006.934	BKK	3II	02701/06	.
2006.934_2	BKK	3II	02704/06	.
2006.953	BKK	3II	02763/06	.
2006.959	BKK	3II	02784/06	.
2006.97	BKK	3II	02812/06	.
2006.97_2	BKK	3II	02814/06	.
2007.063	H07	3XX	006.1	.
2007.37	Singapore	3III	GU370053	.
2007.5	Vietnam	3XX	EU482461/07	.
2007.5_2	Vietnam	3XX	EU482462/07	.
2007.5_3	Vietnam	3XX	FJ432743/07	.
2007.5_4	Cambodia	3XX	FJ639713/07	.
2007.5_5	Cambodia	3XX	FJ639731/07	.
2007.5_6	Vietnam	3II	FJ461326	.
2007.5_7	Vietnam	3II	FJ461329	.
2007.5_8	Vietnam	3II	KF955457	.
2007.563	R07	3XX	266.1	.
2007.73	R07	3XX	450.1	.
2008.5	Cambodia	3II	GU131946	.
2008.5_2	Vietnam	3XX	FJ461322/08	.
2008.5_3	Vietnam	3XX	FJ461337/08	.
2008.5_4	Vietnam	3XX	FJ562103/08	.
2008.5_5	Cambodia	3XX	FJ639715/08	.
2008.5_6	Cambodia	3XX	FJ639716/08	.
2008.5_7	Cambodia	3XX	GU131903/08	.
2008.5_8	Malaysia	3III	LT996905	.
2008.5_9	P07	3XX	399.1	.
2008.5_10	P08	3XX	001.1	.
2008.5_11	Thailand	3II	KU509284	.
2008.527	BKK	3II	01398/08	.
2008.563	R08	3XX	557.1	.
2008.73	P08	3XX	268.1	.
2008.813	H08	3XX	260.1	.
2009.063	H09	3XX	025.1	.
2009.5	P09	3XX	094.1	.
2009.553	BKK	3II	00702/09	.
2009.73	H09	3XX	226.1	.
2009.808	BKK	3II	01231/09	.
2009.813	R09	3XX	409.1	.
2009.914	R09	3XX	505.1	.
2009.953	KPP	3II	30754/09	.
2010.049	BKK	3II	00075/10	.
2010.063	R10	3XX	002.1	.
2010.17	Thailand	3II	HG316483	.
2010.244	Thailand	3II	HG316484	.
2010.4	Laos	3II	KY849771	.
2010.5	H10	3XX	173.1	.
2010.564	Laos	3II	KY849773	.
2010.647	P10	3XX	011.1	.
2010.652	BKK	3II	01029/10	.
2010.73	H10	3XX	350.1	.
2010.789	BKK	3II	01378/10	.
2010.795	BKK	3III	01385/10	.
2010.825	BKK	3III	01434/10	.
2010.838	BKK	3II	01467/10	.
2010.858	BKK	3II	01508/10	.
2010.907	BKK	3II	01575/10	.
2010.926	BKK	3II	01601/10	.
2011.008	BKK	3III	00007/11	.
2011.09	BKK	3III	00106/11	.
2011.147	H11	3XX	027.1	.
2011.195	BKK	3II	00209/11	.
2011.307	BKK	3II	00323/11	.
2011.411	BKK	3II	00497/11	.
2011.419	BKK	3II	00507/11	.
2011.419_2	BKK	3II	00509/11	.
2011.43	BKK	3III	00544/11	.
2011.433	BKK	3II	00541/11	.
2011.5	Thailand	3II	KU509280	.
2011.532	BKK	3II	00838/11	.
2011.534	BKK	3II	00842/11	.
2011.57	BKK	3II	00923/11	.
2011.636	BKK	3III	01035/11	.
2011.827	BKK	3II	01278/11	.
2011.879	BKK	3II	01363/11	.
2011.967	BKK	3II	01445/11	.
2012.025	BKK	3II	00008/12	.
2012.063	R12	3XX	019.1	.
2012.15	BKK	3II	00088/12	.
2012.467	BKK	3II	00266/12	.
2012.56	Thailand	3II	MH888332	.
2012.598	BKK	3II	00368/12	.
2012.702	BKK	3II	00519/12	.
2012.77	BKK	3III	00608/12	.
2012.798	BKK	3II	00638/12	.
2012.798_2	BKK	3III	00639/12	.
2012.836	BKK	3II	00749/12	.
2012.855	BKK	3II	00798/12	.
2012.858	BKK	3III	00817/12	.
2012.874	BKK	3III	00833/12	.
2012.94	BKK	3III	00999/12	.
2012.973	BKK	3III	01094/12	.
2012.984	BKK	3III	01106/12	.
2013.025	BKK	3II	00065/13	.
2013.5	BKK	3II	01131/12	.
2013.5_2	Singapore	3III	KX380842	.
2013.504	BKK	3III	00693/13	.
2013.507	BKK	3III	00695/13	.
2013.51	BKK	3III	00709/13	.
2013.515	BKK	3III	00715/13	.
2013.523	BKK	3III	00731/13	.
2013.564	BKK	3III	00807/13	.
2013.605	BKK	3II	00912/13	.
2013.605_2	BKK	3III	00910/13	.
2013.625	BKK	3III	00957/13	.
2013.808	BKK	3III	01401/13	.
2014.115	BKK	3III	00146/14	.
2014.608	BKK	3III	00432/14	.
2014.66	BKK	3III	00507/14	.
2014.674	BKK	3III	00521/14	.
2014.71	BKK	3III	00542/14	.
2014.748	BKK	3III	00560/14	.
2014.844	BKK	3III	00654/14	.
2014.877	BKK	3III	00688/14	.
2014.882	BKK	3III	00705/14	.
2014.885	BKK	3III	00710/14	.
2014.91	BKK	3III	00739/14	.
2014.921	BKK	3III	00749/14	.
2014.937	BKK	3III	00759/14	.
2014.956	Malaysia	3III	MH051731	.
2015.288	Singapore	3III	KY921907	.
2016.79	Thailand	3III	LC410192	.
2016.956	Thailand	3III	LC410193	.
2016.956_2	Thailand	3III	LC410194	.
