serotype	seq_col	closest_exp	min_distance
1	hDenV1/Colombia/SAN-UIS-0000034/2014	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000040/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000041/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000043/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000046/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000047/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000048/2014	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000050/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000051/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000052/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000054/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000055/2015	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000056/2013	1980.372	0.9
1	hDenV1/Colombia/SAN-UIS-0000057/2014	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-0000059/2016	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00001/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00002/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00003/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00004/2008	1980.372	0.74
1	hDenV1/Colombia/SAN-UIS-00016/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00017/2007	1980.372	1.03
1	hDenV1/Colombia/SAN-UIS-00018/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00019/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00021/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00022/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00023/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00024/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00025/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00026/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00027/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00028/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00029/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00030/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00031/2004	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00032/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00033/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00035/2008	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00036/2007	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00050/2001	1980.372	0.29
1	hDenV1/Colombia/SAN-UIS-00051/2002	1980.372	0.29
1	hDenV1/Colombia/SAN-UR-F15030291/2014	1980.372	0.29
1	hDenV1/Colombia/SAN-UR-LV121086/2010	1980.372	0.29
1	hDenV1/Colombia/SAN-UR-LV122007/2009	1980.372	0.29
1	hDenV1/Colombia/SAN-UR-P201080030/2015	1980.372	0.05
1	hDenV1/Colombia/SAN-Yale-DH141-P2/2004	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2300876/2023	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2306001/2023	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400035/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400054/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400146/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400227/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400262/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400298/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2400368/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2401121/2024	1996.549	1.16
1	hDenV1/Colombia/VAC-LSPVAC-2401601/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2401811/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2401935/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2402024/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2402457/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2402566/2024	1980.372	0.44
1	hDenV1/Colombia/VAC-LSPVAC-2402583/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2402847/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2403830/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2404263/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2404314/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2404461/2024	1980.372	0.44
1	hDenV1/Colombia/VAC-LSPVAC-2404681/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2404789/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405179/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405205/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405404/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405498/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405525/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405553/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405625/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405690/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405731/2024	1980.372	0.44
1	hDenV1/Colombia/VAC-LSPVAC-2405754/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2405774/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2407081-VI/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2407539-VI/2024	1980.372	0.29
1	hDenV1/Colombia/VAC-LSPVAC-2409164-VI/2024	1980.372	0.29
1	hDenV1/Colombia/un-BNITM-363/2018	1980.372	0.29
1	hDenV1/Colombia/un-BROAD-0000007/2005	1980.372	0.29
1	hDenV1/Colombia/un-CDC-002/2007	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-AFI007673/2019	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC063/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC087/2021	2005.364	1.16
1	hDenV1/Colombia/un-FUAA-DFC088/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC096/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC112/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC114/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC161/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC162/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC177/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC217/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC222/2021	2005.364	1.16
1	hDenV1/Colombia/un-FUAA-DFC238/2021	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC245/2022	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC263/2022	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC264/2022	1980.372	0.29
1	hDenV1/Colombia/un-FUAA-DFC265/2022	1980.372	0.29
1	hDenV1/Colombia/un-INS-424233/2013	1980.372	0.29
1	hDenV1/Colombia/un-INS-484930/2016	1980.372	0.29
1	hDenV1/Colombia/un-INS-484940/2016	1980.372	0.29
1	hDenV1/Colombia/un-INS-484942/2016	1980.372	0.29
1	hDenV1/Colombia/un-INS-484948/2016	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000003/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000005/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000006/2012	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-0000008/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000010/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000011/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000014/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000023/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000040/2013	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-0000043/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000045/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000046/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000048/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000049/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000052/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000053/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000060/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000061/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000063/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000068/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000069/2012	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-0000070/2012	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-0000074/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000075/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000076/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000081/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000087/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000088/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000090/2012	1982.455	0.92
1	hDenV1/Colombia/un-OUCRU-0000092/2012	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-0000093/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-0000095/2012	1982.455	0.92
1	hDenV1/Colombia/un-OUCRU-0000096/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-1/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101210/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101212/2013	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-101216/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101218/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101219/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-10122/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101220/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101221/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101223/2013	2005.063	1.16
1	hDenV1/Colombia/un-OUCRU-101224/2011	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101225/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101226/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101227/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101228/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101229/2013	2005.063	1.16
1	hDenV1/Colombia/un-OUCRU-10123/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101230/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101232/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101234/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101235/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101236/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-10124/2013	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-101245/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-10125/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-101253/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-10126/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-10128/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-102/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-103/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-104/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-131/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-132/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-133/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-134/2013	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-135/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-136/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-332/2013	2005.063	1.16
1	hDenV1/Colombia/un-OUCRU-333/2013	2005.063	1.16
1	hDenV1/Colombia/un-OUCRU-338/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-340/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-341/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-342/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-348/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-353/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-356/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-358/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-360/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-506/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-507/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-508/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-509/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-510/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-511/2013	1982.455	0.87
1	hDenV1/Colombia/un-OUCRU-512/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-513/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-519/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-520/2012	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-521/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-522/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-523/2013	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-525/2011	1980.372	0.29
1	hDenV1/Colombia/un-OUCRU-526/2013	1980.372	0.29
1	hDenV1/Colombia/un-UDS-Ov07582/2013	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DH141/2004	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02363/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02365/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02376/2023	1980.372	0.87
1	hDenV1/Colombia/un-Yale-DN02379/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02386/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02429/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02440/2023	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02489/2024	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02505/2024	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02556/2024	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02730/2024	1980.372	0.44
1	hDenV1/Colombia/un-Yale-DN02733/2024	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02741/2024	1980.372	0.29
1	hDenV1/Colombia/un-Yale-DN02838/2024	1980.372	0.29
2	DenV2/Colombia/VAC-LSPVAC-01056-VI/2024	1982.5	1.1
2	DenV2/Colombia/VAC-LSPVAC-01460-VI/2024	2004.5_3	0.0
2	DenV2/Colombia/VAC-LSPVAC-01585-VI/2024	2004.5_3	0.0
2	DenV2/Colombia/VAC-LSPVAC-01723-VI/2024	2004.5_3	0.0
2	DenV2/Colombia/VAC-LSPVAC-01759-VI/2024	1982.5	2.88
2	DenV2/Colombia/VAC-LSPVAC-01814-VI/2024	2007.241	0.0
2	DenV2/Colombia/VAC-LSPVAC-01948-VI/2024	2004.5_3	0.98
2	DenV2/Colombia/VAC-LSPVAC-02013-VI/2024	2004.5_3	0.0
2	DenV2/Colombia/VAC-LSPVAC-02332-VI/2024	1982.5	1.1
2	DenV2/Colombia/VAC-LSPVAC-02570-VI/2024	1982.5	2.25
2	DenV2/Colombia/VAC-LSPVAC-02730-VI/2024	2004.5_3	0.0
2	DenV2/Colombia/VAC-LSPVAC-04996-VI/2024	2004.5_3	0.0
2	DenV2/mosquito/Colombia/ANT-UDEA-0720/2024	2004.5_3	0.0
2	DenV2/mosquito/Colombia/ANT-UDEA-0720LIME/2024	2004.5_3	0.0
2	DenV2/mosquito/Colombia/ANT-UDEA-0997LIME/2024	2004.5_3	0.0
2	hDenV2/Colombia/ANT-BROAD-0000008/2004	1982.5	0.81
2	hDenV2/Colombia/ANT-UDEA-C0A0029/2021	1982.5	1.36
2	hDenV2/Colombia/ANT-UDEA-COA0028/2021	1982.5	1.99
2	hDenV2/Colombia/ANT-UDEA-COA0105/2022	1982.5	1.99
2	hDenV2/Colombia/ANT-UDEA-COA0106/2022	1982.5	1.99
2	hDenV2/Colombia/ANT-UDEA-COA0223/2022	1982.5	1.99
2	hDenV2/Colombia/ANT-UDEA-COT0021/2023	1982.5	2.44
2	hDenV2/Colombia/ANT-UDEA-COT0213/2023	2004.5_3	0.0
2	hDenV2/Colombia/ANT-UDEA-COT0237/2023	2004.5_3	0.0
2	hDenV2/Colombia/ANT-UDEA-COT0238/2023	2004.5_3	0.0
2	hDenV2/Colombia/ANT-UDEA-PFT1/2023	2004.5_3	0.0
2	hDenV2/Colombia/ARA-INS-457058/2016	1982.5	1.99
2	hDenV2/Colombia/BOL-UEB-113/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-126/2021	1982.5	2.27
2	hDenV2/Colombia/BOL-UEB-264/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-27/2021	1982.5	2.06
2	hDenV2/Colombia/BOL-UEB-3/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-311/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-321/2021	1982.5	0.55
2	hDenV2/Colombia/BOL-UEB-322/2021	1982.5	2.03
2	hDenV2/Colombia/BOL-UEB-327/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-4/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-70/2021	1982.5	1.36
2	hDenV2/Colombia/BOL-UEB-87/2021	1982.5	1.07
2	hDenV2/Colombia/CAL-INS-427516/2013	1982.5	0.81
2	hDenV2/Colombia/CAS-INS-484771/2016	1982.5	2.25
2	hDenV2/Colombia/CAS-INS-484926/2016	1982.5	1.7
2	hDenV2/Colombia/CAU-INS-422641/2013	1982.5	0.81
2	hDenV2/Colombia/COR-UNICORDOBA-23/2021	1982.5	1.36
2	hDenV2/Colombia/CUN-INS-425819/2013	1982.5	1.1
2	hDenV2/Colombia/CUN-UEB-028/2014	1982.5	0.81
2	hDenV2/Colombia/CUN-UEB-16/2016	1982.5	1.1
2	hDenV2/Colombia/CUN-UEB-28/2014	1982.5	0.81
2	hDenV2/Colombia/CUN-UEB-3/2014	1982.5	0.81
2	hDenV2/Colombia/CUN-UEB-391/2014	1982.5	0.81
2	hDenV2/Colombia/CUN-UEB-72/2014	1982.5	0.81
2	hDenV2/Colombia/GUV-BROAD-0000010/2005	1982.5	1.7
2	hDenV2/Colombia/GUV-BROAD-0000011/2005	1982.5	1.7
2	hDenV2/Colombia/GUV-BROAD-0000012/2005	1982.5	1.7
2	hDenV2/Colombia/GUV-BROAD-0000013/2005	1982.5	1.7
2	hDenV2/Colombia/GUV-BROAD-0000014/2005	1982.5	1.7
2	hDenV2/Colombia/GUV-INS-476747/2016	1982.5	2.25
2	hDenV2/Colombia/HUI-INS-449308/2015	1996.653	2.91
2	hDenV2/Colombia/HUI-INS-449618/2015	1982.5	0.81
2	hDenV2/Colombia/HUI-INS-450024/2015	1996.653	2.91
2	hDenV2/Colombia/HUI-INS-452018/2015	1996.653	2.91
2	hDenV2/Colombia/HUI-INS-484975/2016	1982.5	0.81
2	hDenV2/Colombia/HUI-INS-484978/2016	1982.5	0.81
2	hDenV2/Colombia/HUI-UEB-26/2011	1982.5	0.81
2	hDenV2/Colombia/MET-INS-422091/2013	1982.5	2.25
2	hDenV2/Colombia/MET-INS-434321/2014	1982.5	1.1
2	hDenV2/Colombia/MET-NFDCN-CIMBIUR_207/2023	1964.5	0.29
2	hDenV2/Colombia/MET-NFDCN-CIMBIUR_237/2023	2004.5_3	0.29
2	hDenV2/Colombia/MET-UR-207/2023	1964.5	0.29
2	hDenV2/Colombia/MET-UR-237/2023	2004.5_3	0.29
2	hDenV2/Colombia/NSA-BROAD-0000015/2005	1982.5	0.81
2	hDenV2/Colombia/NSA-BROAD-0000021/2005	1982.5	1.7
