DEN1_BURMA_2005_61117 DEN1_CAMBODIA_2003_GENBANKGQ868619 DEN1_PERU_2000_IQT_6152 DEN1_PUERTORICO_2006_BID_V852 DEN1_VIETNAM_2008_BID_V1937 DEN2_CAMBODIA_2009_D2T0601085_KH09_KSP DEN2_MALAYSIA_2008_DKD811 DEN2_NICARAGUA_2006_BID_V571 DEN2_TONGA_1974_NIHVACCINE DEN2_VIETNAM_2006_BID_V735 DEN3_BURMA_2008_80931 DEN3_CAMBODIA_2011_V0907330 DEN3_FIJI_1992__ DEN3_PUERTORICO_2006_429965 DEN3_VIETNAM_2007_BID_V1817 DEN4_CAMBODIA_2010_U0811386 DEN4_CAMBODIA_2011_V0624301 DEN4_INDONESIA_1973_M30153_P5 DEN4_NICARAGUA_1999_703 DEN4_PUERTORICO_1999_BID_V2446 DEN1_NAURU_1974_NIHVACCINE DEN2_VIETNAM_2003_AC21 DEN2_VIETNAM_2003_DF_670 DEN2_NICARAGUA_2005_BID_V533 DEN2_PERU_1996_IQT2913 DEN3_VIETNAM_2006_BID_V1329 DEN1_BOLIVIA_2010_FSB_3363 DEN1_VENEZUELA_2000_OBT_1298 DEN2_VIETNAM_2003_AC21_2 DEN2_SENEGAL_2003_SENDAK_HD_0674 DEN2_VIETNAM_2006_32_135_2 DEN3_NICARAGUA_2009_608 DEN3_PUERTORICO_1963_PRS_228762 DEN4_MALAYSIA_1973_P73_1120_SYLVATIC DEN4_BURMA_2008_81087 DEN4_BRAZIL_2012_BR_12
DENV1/THAILAND/1994/00532/94 787 171 1455 567 492 <20 <20 <20 <20 <20 <20 22 <20 <20 36 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1994/00817/94 360 202 986 540 499 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 27 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1994/01495/94 416 224 1473 315 525 33 <20 <20 <20 23 <20 <20 <20 <20 37 25 20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1995/00229/95 321 195 2046 312 273 44 16 32 14 23 18 44 53 69 38 26 15 8 11 11 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1995/00257/95 418 105 908 424 389 27 8 21 28 40 27 45 90 62 27 24 14 5 13 11 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1995/00288/95 265 115 1553 392 215 29 15 17 24 53 44 44 53 43 32 22 18 7 7 9 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1995/00410/95 417 113 1117 256 172 28 10 18 9 64 21 39 31 47 23 18 11 5 <4 19 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1996/00942/96 303 86 698 317 382 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1996/01231/96 616 253 2545 342 641 29 <20 <20 <20 36 <20 45 <20 20 48 30 26 30 <20 45 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1997/00382/97 1043 419 2317 731 708 22 33 <20 29 29 52 48 34 48 24 21 43 24 23 20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1997/02080/97 925 442 2415 339 907 57 <20 <20 <20 24 37 <20 21 22 <20 24 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1997/02588/97 1824 288 3472 428 824 <20 <20 <20 <20 <20 31 <20 <20 <20 <20 24 36 <20 <20 36 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1997/04772/97 2344 506 2769 1084 1298 43 <20 <20 <20 72 31 67 42 <20 30 53 <20 86 <20 51 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1998/00141/98 583 153 1514 236 279 17 <4 11 <4 24 32 13 14 29 45 22 25 <4 <4 6 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1998/00422/98 437 99 2185 415 324 34 18 31 16 38 38 57 35 45 26 26 30 5 10 10 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1998/02128/98 347 183 1633 472 268 106 54 35 26 97 74 72 148 83 64 46 48 16 31 11 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1998/06810/98 275 109 949 279 409 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1998/06870/98 1936 524 3469 1366 1211 238 156 161 82 538 302 251 387 278 222 101 100 36 39 86 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1999/00380/99 849 272 1790 489 604 29 <20 <20 <20 52 28 40 <20 40 21 73 24 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1999/00692/99 1505 434 2151 513 1100 28 <20 27 26 54 28 20 28 34 <20 87 38 23 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/1999/03739/99 343 111 668 252 307 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2000/01236/00 514 149 601 267 264 66 31 19 25 27 64 82 34 50 29 40 16 <8 10 <8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2000/01349/00 523 201 1350 513 374 33 11 21 7 44 19 37 39 48 24 23 21 9 5 10 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2000/02059/00 794 222 1646 823 516 29 8 18 10 53 27 37 29 40 42 26 18 6 9 22 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2000/05580/00 695 140 1326 352 241 32 6 33 21 66 25 45 36 34 39 29 15 5 11 8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2000/05899/00 377 166 2228 405 405 59 27 36 25 62 34 97 104 69 30 41 20 12 13 24 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2001/00355/01 286 95 1052 170 171 28 21 18 9 51 21 43 66 56 26 34 18 6 10 17 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2001/02633/01 693 139 2120 393 381 44 22 58 23 56 41 100 144 109 36 30 10 <4 8 9 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2001/04601/01 312 217 1622 609 542 42 15 40 27 45 37 66 43 51 20 29 13 9 10 15 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2001/04774/01 215 64 697 237 362 8 <4 9 5 9 9 6 <4 20 8 7 7 <4 <4 <4 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2002/00644/02 606 174 2210 442 588 57 16 45 38 70 94 66 64 85 88 78 63 15 35 16 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2002/00731/02 515 167 2431 458 410 70 34 27 33 60 70 125 126 58 38 39 33 11 16 17 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2002/01459/02 379 98 1622 336 363 53 32 32 17 109 28 45 94 62 30 35 22 6 12 <4 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2002/03030/02 432 61 1924 373 343 16 6 19 6 13 16 30 16 41 21 19 18 5 6 6 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00068/04 348 129 817 249 179 36 15 13 19 95 41 55 49 32 44 58 47 9 13 8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00088/04 174 144 961 168 233 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 23 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00477/04 281 114 773 365 468 33 14 31 11 34 18 44 84 31 12 27 11 <8 10 13 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00479/04 739 465 4485 607 492 25 <20 <20 37 52 73 56 38 <20 32 <20 29 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00725/04 316 172 1867 359 465 31 27 18 20 45 44 28 92 33 48 17 13 6 6 9 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00758/04 301 95 1203 278 211 32 <4 6 5 28 19 28 37 31 17 31 13 8 <4 6 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/00975/04 308 131 966 417 482 <20 <20 <20 <20 <20 27 <20 <20 <20 <20 21 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/01420/04 296 166 1326 251 428 22 9 27 11 45 14 33 21 40 26 15 <4 6 <4 7 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2004/01604/04 517 521 2284 450 950 <20 <20 22 <20 23 <20 <20 25 22 <20 24 <20 22 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2005/00743/05 717 164 1884 722 763 25 <20 <20 <20 <20 <20 <20 <20 <20 29 <20 <20 <20 <20 20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2005/00744/05 708 201 2276 761 868 43 <20 <20 22 48 33 45 <20 25 34 57 41 31 <20 28 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2005/01040/05 570 178 2988 392 475 <20 <20 <20 <20 20 56 <20 <20 41 <20 78 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00007/06 418 199 2223 459 320 30 28 19 16 30 49 45 43 56 42 42 14 24 22 15 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00113/06 692 149 2307 413 519 <20 <20 <20 20 <20 29 <20 <20 20 <20 26 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00369/06 1401 452 2963 617 836 <20 35 33 22 45 28 <20 51 <20 31 57 33 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00371/06 553 233 964 307 433 23 <20 <20 <20 <20 22 <20 <20 <20 22 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00411/06 323 113 933 380 183 29 13 34 15 33 50 23 46 17 37 21 64 14 16 11 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00418/06 647 121 913 455 378 15 34 30 16 47 57 29 50 29 109 22 14 10 11 <8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00482/06 968 399 1955 541 450 27 <20 <20 <20 <20 38 23 30 <20 57 23 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/00555/06 447 157 1889 368 306 34 11 14 <8 48 22 34 46 25 30 26 15 11 12 9 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01001/06 761 175 1791 775 473 32 19 21 13 65 40 43 44 20 49 31 17 15 10 15 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01038/06 353 157 1224 231 218 38 27 38 21 77 68 43 87 74 42 69 42 7 40 10 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01170/06 987 478 3052 567 754 26 <20 <20 <20 <20 50 <20 31 <20 <20 50 30 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01332/06 381 127 1233 330 233 27 16 15 13 35 16 31 55 16 42 22 16 9 <8 11 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01448/06 225 132 1162 254 258 19 <8 11 <8 25 21 22 21 33 <8 17 16 <8 <8 8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01831/06 341 177 1787 206 257 53 11 25 24 70 56 56 32 49 28 25 16 5 <4 8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01932/06 371 91 1115 204 537 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/01934/06 418 130 693 196 256 14 6 27 9 30 16 28 20 20 19 30 16 6 11 13 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/02050/06 421 128 1739 219 383 19 14 16 14 24 26 64 41 46 33 17 13 <8 8 <8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/02193/06 783 334 1984 852 494 25 4 22 <4 29 18 21 19 27 35 20 20 6 5 8 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/02340/06 238 85 615 122 216 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2006/02509/06 464 147 1037 475 448 27 <20 20 <20 <20 29 37 <20 37 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2007/01479/07 563 264 2500 446 297 29 22 <20 <20 119 21 <20 22 <20 44 20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2010/00792/10 341 103 940 273 219 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2010/01327/10 279 87 845 328 286 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2010/01510/10 221 424 910 256 312 <20 <20 <20 <20 27 <20 32 76 26 <20 <20 <20 20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2010/01518/10 261 104 738 284 326 <20 <20 <20 <20 <20 23 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2011/00330/11 504 184 2238 223 590 34 <20 <20 <20 <20 34 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2011/00577/11 275 87 820 338 331 <20 <20 <20 <20 <20 <20 <20 <20 <20 27 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2011/01392/11 250 87 656 136 281 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2011/01450/11 318 101 1179 229 233 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2012/00511/12 452 122 1428 297 432 <20 <20 <20 <20 <20 20 26 <20 <20 <20 <20 <20 <20 <20 25 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2012/00777/12 258 319 2002 401 677 <20 <20 <20 <20 <20 47 <20 <20 <20 21 48 47 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2012/00829/12 190 121 1630 250 391 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2012/01133/12 583 172 1680 351 582 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 27 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2013/00090/13 217 165 2307 291 184 38 102 <20 <20 86 24 101 117 64 66 55 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2013/00297/13 569 203 1501 387 678 <20 <20 <20 <20 21 21 43 <20 <20 27 25 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2013/00343/13 446 66 518 436 694 <20 <20 <20 <20 35 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2013/00485/13 288 105 1251 178 330 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2014/00444/14 387 193 1845 400 692 <20 <20 <20 <20 <20 <20 21 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2014/00485/14 688 292 2536 774 1099 <20 27 <20 <20 45 <20 62 <20 24 28 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2014/00554/14 568 233 2525 451 343 25 <20 <20 <20 <20 29 39 36 23 <20 <20 45 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/THAILAND/2014/00725/14 280 87 1042 170 319 25 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV1/VENEZUELA/2000/OBT-1298 107 26 727 96 170 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 35 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV1/VIETNAM/2008/BID-V1937 257 68 747 446 762 <22 22 24 <22 24 <22 <22 24 <22 33 <22 <22 <22 <22 <22 <22 <22 <22 <22 22 <22 44 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV2/BRAZIL/2004/BR-161 * * * <22 <22 * 44 115 28 1346 * * <22 * <22 * * <22 * <22 <22 24 54 <22 30 <22 * * * * * * * * * *
DENV2/CAMBODIA/2004/D2O0816219_KH04_PHP 39 29 73 <20 <20 134 70 123 42 487 27 <20 <20 21 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/CAMBODIA/2007/FJ639717 27 <20 33 <20 31 274 94 187 53 2682 62 62 <20 <20 <20 27 23 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/CAMBODIA/2007/GU131927 <10 <10 <10 <10 <10 31 20 95 12 503 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 * * * * * * * * * * * * * * * *
DENV2/CAMBODIA/2008/GQ868638 <22 <22 <22 <22 <22 <22 <22 33 <22 446 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 26 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV2/CAMBODIA/2009/D2T0601085-KH09-KSP <22 <22 37 <22 <22 <22 <22 68 <22 429 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 35 24 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV2/GUYANA/2000/CAREC-00-08221 <22 <22 22 <22 <22 61 <22 161 <22 577 <22 28 <22 <22 <22 24 <22 <22 <22 <22 <22 <22 63 <22 <22 <22 <22 <22 <22 <22 30 <22 <22 <22 <22 24
DENV2/INDIA/1974/POONA-742295 <22 26 28 <22 <22 44 <22 142 <22 1109 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 22 39 22 37 <22 <22 <22 <22 <22 44 <22 <22 <22 <22 <22
DENV2/MALAYSIA/2008/DKD-811 <22 <22 <22 <22 <22 24 68 81 28 558 <22 <22 <22 <22 24 <22 <22 <22 <22 <22 <22 <22 50 <22 35 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV2/NEWGUINEA/1944/NEWGUINEAC <22 <22 24 <22 * 26 * <22 39 <22 <22 <22 <22 <22 * <22 <22 * <22 <22 <22 <22 155 39 44 <22 <22 <22 <22 <22 35 <22 <22 <22 <22 <22
DENV2/NICARAGUA/2005/BID-V533 <22 <22 22 33 <22 <22 48 185 39 1013 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 24 39 41 24 30 24 <22 <22 <22 <22 48 <22 <22 <22 <22 <22
DENV2/NICARAGUA/2006/BID-V571 <22 <22 <22 24 <22 <22 41 129 35 939 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 35 65 30 37 24 <22 <22 <22 <22 30 <22 <22 <22 <22 <22
DENV2/PERU/1996/IQT2913 <22 <22 74 37 <22 <22 70 176 94 913 <22 * <22 <22 24 22 <22 <22 <22 <22 30 57 109 48 46 22 <22 <22 <22 <22 * * * <22 <22 <22
DENV2/SENEGAL/1970/SENDAK-HD-10674 170 39 450 41 29 426 432 385 144 730 115 84 35 72 57 68 39 20 25 <10 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1988/05470/88 16 <8 25 <8 22 76 92 279 102 512 16 21 21 21 <8 18 <8 12 <8 24 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1994/00126/94 47 42 96 <20 <20 187 89 147 29 1816 38 81 <20 64 <20 58 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1994/00327/94 24 <20 29 <20 29 130 96 263 43 2895 21 29 <20 <20 <20 30 <20 25 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1994/00523/94 <20 22 41 <20 42 107 119 318 83 2742 <20 <20 23 28 <20 32 <20 <20 <20 26 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1994/01414/94 <20 <20 <20 <20 <20 260 89 107 82 2123 <20 <20 <20 43 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1995/00773/95 32 24 51 9 20 102 166 190 35 1612 51 24 34 37 47 23 18 11 10 12 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1995/00775/95 40 <20 44 <20 30 86 146 260 45 2636 20 30 <20 21 101 <20 <20 <20 <20 28 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1995/00976/95 29 11 63 18 10 159 68 332 50 1458 29 28 7 34 11 20 11 <4 <4 7 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1995/01656/95 33 13 49 31 25 115 159 257 126 1809 51 45 27 26 34 26 11 8 5 18 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1995/01800/95 31 16 50 57 18 182 293 385 74 5243 44 44 27 <4 21 22 10 18 5 20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1996/00024/96 46 <20 89 <20 <20 93 155 282 85 1671 29 21 <20 22 <20 <20 <20 <20 <20 21 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1996/01163/96 22 <20 49 <20 <20 484 188 260 60 2612 20 <20 <20 <20 51 47 <20 <20 <20 24 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1996/01175/96 247 129 392 89 95 431 452 1399 199 8771 116 187 156 131 225 99 137 91 67 143 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1996/01309/96 87 55 197 <20 <20 311 128 307 74 2752 51 97 22 38 36 85 45 45 <20 31 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1996/02561/96 <20 <20 48 <20 <20 118 70 153 40 1381 <20 23 21 <20 27 30 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1997/05107/97 93 42 212 21 151 614 330 999 242 6014 66 129 83 164 69 51 66 <20 20 67 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/00309/98 42 14 62 16 24 116 63 301 72 1811 29 33 14 31 24 32 15 4 5 9 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/00441/98 69 28 92 56 20 85 71 252 27 1043 37 49 40 83 21 34 30 14 17 11 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/00554/98 40 18 183 39 10 127 111 114 41 1199 30 31 30 32 29 29 32 16 <4 7 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/01718/98 50 21 254 77 21 167 104 420 111 1176 32 44 37 48 53 30 18 21 19 26 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/04648/98 34 28 96 33 30 186 80 219 48 650 26 32 32 24 35 27 13 <8 <8 <8 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/06160/98 21 <20 <20 <20 <20 100 53 144 38 1445 <20 34 <20 33 <20 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV2/THAILAND/1998/06895/98 50 19 216 23 7 163 96 266 46 572 39 98 30 41 58 29 21 <4 15 <4 * * * * * * * * * * * * * * * *
